issues,skills,interests,activities,schoolActivities,persona
Education And Mobility,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Academic improvement,Career Development,Research Databases, Community Service",Business
Education And Mobility,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Academic improvement,Career Development,Research Databases, Community Service",Business
Environment And Sustainability,Tech,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Tech
Environment And Sustainability,Tech,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Tech,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Tech,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Tech
Environment And Sustainability,Tech,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Tech
Environment And Sustainability,Social,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Environment And Sustainability,Leadership,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Creative,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Environment And Sustainability,Creative,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leadership
Environment And Sustainability,Creative,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Creative,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Creative,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Environment And Sustainability,Business,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Business
Environment And Sustainability,Business,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Business,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leadership
Environment And Sustainability,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Cyberspace,Tech,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Tech,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Tech,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Tech,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Creative
Cyberspace,Tech,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Social,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Social,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Social,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Social,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Business
Cyberspace,Social,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Leadership,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Leadership,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Leadership,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Creative
Cyberspace,Leadership,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Business
Cyberspace,Leadership,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Creative,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Creative,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Creative,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Creative,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Creative,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Business,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Business,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Business,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
